schema_version,decomposition_basis,kanji,unicode,han_viet,han_viet_display,meaning_vi,mnemonic_vi,etymology_summary_vi,formation_type,learning_atomic,current_visual_ids,origin_char,origin_ids,component_count,has_recursive_component,components_json,origin_components_json
joyo2136_ui_recursive_v2_visual,current_visual,一,U+4E00,nhất,Nhất,một,Chỉ một nét ngang duy nhất: 一 — một.,Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,一,一,一,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,七,U+4E03,thất,Thất,bảy,Nét ngang bị một nét móc bẻ xuống như hình số 7 cách điệu; nhìn 七 là khóa ngay ý “bảy”.,Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,pictographic,true,七,七,七,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,丁,U+4E01,đinh,Đinh,"phường, khu","Một nét ngang đóng trên một nét dọc như chiếc đinh; nhìn hình “đinh” đơn giản để nhớ 丁 — đinh, khu/phường.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,丁,丁,丁,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,下,U+4E0B,hạ,Hạ,bên dưới,Một nét ngắn nằm ở phía dưới đường chuẩn; đó là 下 — dưới.,Chỉ sự; nét/dấu của chữ biểu thị khái niệm.,indicative,true,⿱一卜,下,⿱一卜,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,三,U+4E09,tam,Tam,số 3,Ba nét ngang xếp tầng: 三 — ba.,Chỉ sự; nét/dấu của chữ biểu thị khái niệm. Có bất đồng giữa nguồn; các claim được giữ nguyên trong bảng Formation.,indicative,true,⿱一𠄞,三,⿳一一一,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,上,U+4E0A,thượng,Thượng,bên trên,Một nét ngắn nằm ở phía trên đường chuẩn; đó là 上 — trên.,Chỉ sự; nét/dấu của chữ biểu thị khái niệm.,indicative,true,上,上,⿱⺊一,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,丈,U+4E08,trượng,Trượng,"10 thước, dài áo","Một bàn tay (又) cầm cây gậy dài; đo đủ mười thước mới thành một 丈 — trượng, một đơn vị chiều dài.",Hội ý theo dạng gốc 丈: ⿻一又.,ideographic,false,丈,丈,⿻一又,0,False,[],"[{""order"":1,""component"":""一"",""display"":""一"",""han_viet"":""nhất (hoành)"",""meaning_vi"":""một (1) (còn gọi là nét Hoành hay nét ngang)"",""position_ui"":""overlay"",""position_vi"":""chồng nét"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""},{""order"":2,""component"":""又"",""display"":""又"",""han_viet"":""hựu"",""meaning_vi"":""lại nữa, một lần nữa"",""position_ui"":""overlay"",""position_vi"":""chồng nét"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,与,U+4E0E,dự,Dự,"can dự, cấp cho, cầm quyền","Hãy hình dung hai tay đưa một vật từ người này sang người kia; động tác “trao cho” khóa nghĩa 与 — cho, cùng với.",Hình thanh theo dạng gốc 與: phần nghĩa 与; phần âm 舁.,phono-semantic,false,⿹&CDP-8BBF;一,與,⿶舁与,2,False,"[{""order"":1,""component"":""&CDP-8BBF;"",""display"":""https://glyphwiki.org/glyph/cdp-8bbf.svg"",""render_type"":""glyphwiki_svg"",""render_value"":""https://glyphwiki.org/glyph/cdp-8bbf.svg"",""glyphwiki_name"":""cdp-8bbf"",""han_viet"":"""",""han_viet_display"":"""",""meaning_vi"":"""",""mnemonic_vi"":"""",""mnemonic_source"":""component_master"",""position_raw"":""surround_upper_right"",""position_ui"":""outside"",""position_vi"":""bao phía trên-phải"",""role"":""visual_only"",""role_vi"":""thành phần hình thể"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]},{""order"":2,""component"":""一"",""display"":""一"",""render_type"":""unicode"",""render_value"":""一"",""glyphwiki_name"":"""",""han_viet"":""nhất (hoành)"",""han_viet_display"":""Nhất (hoành)"",""meaning_vi"":""một (1) (còn gọi là nét Hoành hay nét ngang)"",""mnemonic_vi"":""Chỉ một nét ngang duy nhất: 一 — một."",""mnemonic_source"":""kanji_master_v6"",""position_raw"":""inside"",""position_ui"":""inside"",""position_vi"":""bên trong"",""role"":""visual_only"",""role_vi"":""thành phần hình thể"",""component_source"":""IDS-UCS-Basic.txt"",""recursive_available"":false,""recursive_source"":"""",""recursive_children"":[]}]","[{""order"":1,""component"":""舁"",""display"":""舁"",""han_viet"":"""",""meaning_vi"":"""",""position_ui"":""outside"",""position_vi"":""bao phía dưới"",""role"":""phonetic"",""role_vi"":""phần âm"",""source"":""ids-analysis""},{""order"":2,""component"":""与"",""display"":""与"",""han_viet"":""dự"",""meaning_vi"":""can dự, cấp cho, cầm quyền"",""position_ui"":""inside"",""position_vi"":""bên trong"",""role"":""semantic"",""role_vi"":""phần nghĩa"",""source"":""ids-analysis""}]"
joyo2136_ui_recursive_v2_visual,current_visual,万,U+4E07,vạn,Vạn,"mười ngàn, vạn","Hãy coi nét dài và chiếc móc của 万 như ký hiệu rút gọn cho một con số thật lớn; gặp 万 thì bật ra “mười ngàn, vạn”.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,万,𥝅,𥝅,0,False,[],[]
joyo2136_ui_recursive_v2_visual,current_visual,不,U+4E0D,bất,Bất,không,"Nét dưới chạm vào đường ngang như bị chặn lại, không đi tiếp được; cảnh bị ngăn ấy giúp nhớ 不 — không.",Tượng hình; không dùng chiết tự ngữ nghĩa làm nguồn gốc.,pictographic,true,不,不,不,0,False,[],[]
